# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	21037
#@/user_id	edf49405-f6ee-4acb-88d3-58294728cd25
chao 	超	c=1 d=1 t=21037
chao cai 	炒菜	c=1 d=0.88692 t=21037
chao fan 	炒飯	c=2 d=1.78917 t=21037
chao guo 	超過	c=2 d=0.930542 t=21037
chao ji 	超級	c=3 d=1.53779 t=21037
chao ji duo 	超級多	c=1 d=0.985112 t=21037
chao le 	吵了	c=1 d=0.995012 t=21037
chao lian jie 	超鏈接	c=1 d=1 t=21037
che 	扯	c=3 d=2.56302 t=21037
che 	車	c=1 d=0.891366 t=21037
che dan 	扯淡	c=3 d=2.73871 t=21037
che di 	徹底	c=1 d=0.960789 t=21037
che le 	扯了	c=1 d=0.677057 t=21037
chen 	陳	c=5 d=3.64151 t=21037
chen yi xun 	陳奕迅	c=21 d=9.88074 t=21037
cheng 	成	c=25 d=5.76592 t=21037
cheng 	程	c=1 d=0.869358 t=21037
cheng du 	程度	c=4 d=2.38933 t=21037
cheng gong 	成功	c=6 d=3.18783 t=21037
cheng le 	成了	c=1 d=0.794534 t=21037
cheng man 	撐滿	c=1 d=0.955997 t=21037
cheng nei 	城內	c=1 d=0.790571 t=21037
cheng pin 	成品	c=3 d=2.48971 t=21037
cheng shi 	誠實	c=8 d=3.94937 t=21037
cheng shu 	成熟	c=1 d=0.981635 t=21037
cheng wei 	成爲	c=5 d=3.03051 t=21037
cheng xian 	呈現	c=1 d=0.941765 t=21037
cheng xu 	程序	c=10 d=4.3415 t=21037
chi 	喫	c=6 d=3.43827 t=21037
chi fan 	喫飯	c=1 d=0.918512 t=21037
chi le 	喫了	c=2 d=1.28744 t=21037
chi you 	持有	c=1 d=0.843665 t=21037
chong 	重	c=4 d=2.18602 t=21037
chong fu 	重複	c=2 d=1.25547 t=21037
chong gou 	重構	c=22 d=4.82896 t=21037
chong li mian 	重裏面	c=1 d=0.923116 t=21037
chong man 	充滿	c=2 d=1.83946 t=21037
chong ming ming 	重命名	c=1 d=0.814647 t=21037
chong qi 	重啓	c=6 d=2.81676 t=21037
chong xie 	重寫	c=8 d=3.42313 t=21037
chong xin 	重新	c=1 d=0.677057 t=21037
chong zhi 	重置	c=1 d=1 t=21037
chou 	抽	c=2 d=1.38609 t=21037
chou da 	抽打	c=26 d=14.4828 t=21037
chou hua 	醜話	c=1 d=0.937067 t=21037
chu 	出	c=13 d=5.06918 t=21037
chu bu 	初步	c=2 d=1.41919 t=21037
chu cun 	儲存	c=4 d=2.28058 t=21037
chu fa 	觸發	c=7 d=3.46122 t=21037
chu fei 	除非	c=1 d=0.336216 t=21037
chu lai 	出來	c=6 d=2.73912 t=21037
chu lai le 	出來了	c=1 d=0.900325 t=21037
chu lai ma 	出來嗎	c=1 d=0.882497 t=21037
chu le 	除了	c=1 d=0.904837 t=21037
chu li 	處理	c=19 d=6.27293 t=21037
chu li cheng 	處理成	c=1 d=0.479505 t=21037
chu qu 	出去	c=1 d=0.197899 t=21037
chu sheng 	出生	c=1 d=0.927743 t=21037
chu shi hua 	初始化	c=6 d=2.20446 t=21037
chu wai 	除外	c=1 d=0.527292 t=21037
chu xian 	出現	c=6 d=2.92698 t=21037
chu xing 	雛形	c=1 d=0.436049 t=21037
chu yi 	初一	c=3 d=2.95057 t=21037
chu zhong 	初中	c=1 d=0.878095 t=21037
chuan 	串	c=2 d=1.35456 t=21037
chuan 	傳	c=5 d=2.42947 t=21037
chuan dao 	傳到	c=1 d=0.831104 t=21037
chuan di 	傳遞	c=3 d=1.65375 t=21037
chuan gei 	傳給	c=2 d=0.976619 t=21037
chuan ru 	傳入	c=4 d=2.40952 t=21037
chuan shu 	傳輸	c=1 d=0.548812 t=21037
chuan tong 	傳統	c=1 d=0.900325 t=21037
chuan tou 	穿透	c=1 d=1 t=21037
chuang 	創	c=1 d=0.798516 t=21037
chuang fei 	撞飛	c=1 d=0.913931 t=21037
chuang jian 	創建	c=43 d=9.40096 t=21037
chuang kou 	窗口	c=33 d=8.6312 t=21037
chuang kou dao 	窗口到	c=1 d=0.763379 t=21037
chuang shang 	牀上	c=1 d=1 t=21037
chuang xin 	創新	c=2 d=1.79247 t=21037
chui zhi 	垂直	c=3 d=1.30643 t=21037
chun 	純	c=17 d=4.58002 t=21037
chun cui 	純粹	c=3 d=0.773222 t=21037
chun qiu 	春秋	c=1 d=0.941765 t=21037
chuo 	戳	c=3 d=2.6588 t=21037
chuo wo 	戳我	c=1 d=0.970446 t=21037
ci 	次	c=9 d=3.81064 t=21037
ci 	詞	c=1 d=0.737123 t=21037
ci yao 	次要	c=1 d=0.621885 t=21037
ci yu 	詞語	c=1 d=0.927743 t=21037
cong 	從	c=19 d=5.56188 t=21037
cong bu 	從不	c=3 d=1.47359 t=21037
cong er 	從而	c=1 d=0.67368 t=21037
cong li mian 	從裏面	c=1 d=0.927743 t=21037
cong lin 	叢林	c=1 d=0.181772 t=21037
cong ming ming 	從命名	c=1 d=0.458406 t=21037
cong tou 	從頭	c=1 d=0.995012 t=21037
cong xin 	從新	c=3 d=2.54049 t=21037
cou he 	湊合	c=1 d=0.752014 t=21037
cu lve 	粗略	c=2 d=0.971147 t=21037
cun 	存	c=9 d=2.92565 t=21037
cun chu 	存儲	c=5 d=2.13412 t=21037
cun fang 	存放	c=3 d=1.63094 t=21037
cun zai 	存在	c=5 d=3.17268 t=21037
cuo 	搓	c=3 d=2.19531 t=21037
cuo 	錯	c=1 d=0.937067 t=21037
cuo le 	錯了	c=2 d=1.90737 t=21037
cuo wu 	錯誤	c=27 d=13.0621 t=21037
cuo zhe 	搓着	c=0 d=0.0995012 t=21037
cuo zhe wan 	搓着玩	c=1 d=1 t=21037
da 	大	c=9 d=2.94684 t=21037
da 	打	c=13 d=3.48489 t=21037
da 	搭	c=1 d=0.965605 t=21037
da 	達	c=1 d=0.927743 t=21037
da an 	答案	c=2 d=0.878095 t=21037
